"time","Presens_data.O2_value","position"
"2021-09-15T15:29:27.000Z","82.84","3"
"2021-09-15T15:29:27.000Z","85.61","30"
"2021-09-15T15:29:27.000Z","85.19","31"
"2021-09-15T15:29:27.000Z","90.49","32"
"2021-09-15T15:29:27.000Z","87.85","33"
"2021-09-15T15:29:27.000Z","93.53","34"
"2021-09-15T15:29:27.000Z","86.56","35"
"2021-09-15T15:29:27.000Z","88.37","36"
"2021-09-15T15:29:27.000Z","87.85","37"
"2021-09-15T15:29:27.000Z","86.47","38"
"2021-09-15T15:29:27.000Z","86.65","39"
"2021-09-15T15:29:27.000Z","81.21","4"
"2021-09-15T15:29:27.000Z","89.26","40"
"2021-09-15T15:29:27.000Z","87.61","41"
"2021-09-15T15:29:27.000Z","89.81","42"
"2021-09-15T15:29:27.000Z","88.24","43"
"2021-09-15T15:29:27.000Z","86.05","44"
"2021-09-15T15:29:27.000Z","88.5","45"
"2021-09-15T15:29:27.000Z","87.32","46"
"2021-09-15T15:29:27.000Z","88.04","47"
"2021-09-15T15:29:27.000Z","84.93","5"
"2021-09-15T15:29:27.000Z","82.83","6"
"2021-09-15T15:29:27.000Z","84.15","7"
"2021-09-15T15:29:27.000Z","83.46","8"
"2021-09-15T15:29:27.000Z","83.63","9"
"2021-09-15T15:30:26.000Z","87.03","0"
"2021-09-15T15:30:26.000Z","83.68","1"
"2021-09-15T15:30:26.000Z","86.25","10"
"2021-09-15T15:30:26.000Z","86.54","11"
"2021-09-15T15:30:26.000Z","85.14","12"
"2021-09-15T15:30:26.000Z","85.76","13"
"2021-09-15T15:30:26.000Z","86","14"
"2021-09-15T15:30:26.000Z","84.91","15"
"2021-09-15T15:30:26.000Z","86.89","16"
"2021-09-15T15:30:26.000Z","87.01","17"
"2021-09-15T15:30:26.000Z","87.66","18"
"2021-09-15T15:30:26.000Z","88.51","19"
"2021-09-15T15:30:26.000Z","85.47","2"
"2021-09-15T15:30:26.000Z","88.88","20"
"2021-09-15T15:30:26.000Z","88.01","21"
"2021-09-15T15:30:26.000Z","84.01","22"
"2021-09-15T15:30:26.000Z","86.98","23"
"2021-09-15T15:30:26.000Z","88.32","24"
"2021-09-15T15:30:26.000Z","87.53","25"
"2021-09-15T15:30:26.000Z","89.5","26"
"2021-09-15T15:30:26.000Z","88.9","27"
"2021-09-15T15:30:26.000Z","90.09","28"
"2021-09-15T15:30:26.000Z","88.44","29"
"2021-09-15T15:30:26.000Z","85.78","3"
"2021-09-15T15:30:26.000Z","87.99","30"
"2021-09-15T15:30:26.000Z","87.44","31"
"2021-09-15T15:30:26.000Z","92.19","32"
"2021-09-15T15:30:26.000Z","89.85","33"
"2021-09-15T15:30:26.000Z","95.24","34"
"2021-09-15T15:30:26.000Z","88.62","35"
"2021-09-15T15:30:26.000Z","90.15","36"
"2021-09-15T15:30:26.000Z","89.71","37"
"2021-09-15T15:30:26.000Z","88.54","38"
"2021-09-15T15:30:26.000Z","88.6","39"
"2021-09-15T15:30:26.000Z","84.28","4"
"2021-09-15T15:30:26.000Z","91.04","40"
"2021-09-15T15:30:26.000Z","89.5","41"
"2021-09-15T15:30:26.000Z","91.65","42"
"2021-09-15T15:30:26.000Z","89.89","43"
"2021-09-15T15:30:26.000Z","88.06","44"
"2021-09-15T15:30:26.000Z","90.11","45"
"2021-09-15T15:30:26.000Z","89.2","46"
"2021-09-15T15:30:26.000Z","89.89","47"
"2021-09-15T15:30:26.000Z","87.72","5"
"2021-09-15T15:30:26.000Z","85.81","6"
"2021-09-15T15:30:26.000Z","87.36","7"
"2021-09-15T15:30:26.000Z","85.88","8"
"2021-09-15T15:30:26.000Z","86.17","9"
"2021-09-15T15:31:26.000Z","88.61","0"
"2021-09-15T15:31:26.000Z","85.41","1"
"2021-09-15T15:31:26.000Z","87.9","10"
"2021-09-15T15:31:26.000Z","88.22","11"
"2021-09-15T15:31:26.000Z","86.89","12"
"2021-09-15T15:31:26.000Z","87.4","13"
"2021-09-15T15:31:26.000Z","87.67","14"
"2021-09-15T15:31:26.000Z","86.58","15"
"2021-09-15T15:31:26.000Z","88.52","16"
"2021-09-15T15:31:26.000Z","88.49","17"
"2021-09-15T15:31:26.000Z","89.4","18"
"2021-09-15T15:31:26.000Z","90.23","19"
"2021-09-15T15:31:26.000Z","87.24","2"
"2021-09-15T15:31:26.000Z","90.52","20"
"2021-09-15T15:31:26.000Z","89.89","21"
"2021-09-15T15:31:26.000Z","86.12","22"
"2021-09-15T15:31:26.000Z","88.79","23"
"2021-09-15T15:31:26.000Z","89.84","24"
"2021-09-15T15:31:26.000Z","89.34","25"
"2021-09-15T15:31:26.000Z","90.96","26"
"2021-09-15T15:31:26.000Z","90.51","27"
"2021-09-15T15:31:26.000Z","91.76","28"
"2021-09-15T15:31:26.000Z","89.96","29"
"2021-09-15T15:31:26.000Z","87.42","3"
"2021-09-15T15:31:26.000Z","89.62","30"
"2021-09-15T15:31:26.000Z","89","31"
"2021-09-15T15:31:26.000Z","93.31","32"
"2021-09-15T15:31:26.000Z","91.33","33"
"2021-09-15T15:31:26.000Z","96.38","34"
"2021-09-15T15:31:26.000Z","90.12","35"
"2021-09-15T15:31:26.000Z","91.47","36"
"2021-09-15T15:31:26.000Z","91.2","37"
"2021-09-15T15:31:26.000Z","89.97","38"
"2021-09-15T15:31:26.000Z","90","39"
"2021-09-15T15:31:26.000Z","86.1","4"
"2021-09-15T15:31:26.000Z","92.24","40"
"2021-09-15T15:31:26.000Z","90.74","41"
"2021-09-15T15:31:26.000Z","92.89","42"
"2021-09-15T15:31:26.000Z","91.13","43"
"2021-09-15T15:31:26.000Z","89.37","44"
"2021-09-15T15:31:26.000Z","91.22","45"
"2021-09-15T15:31:26.000Z","90.26","46"
"2021-09-15T15:31:26.000Z","91.26","47"
"2021-09-15T15:31:26.000Z","89.15","5"
"2021-09-15T15:31:26.000Z","87.44","6"
"2021-09-15T15:31:26.000Z","88.84","7"
"2021-09-15T15:31:26.000Z","87.55","8"
"2021-09-15T15:31:26.000Z","87.78","9"
"2021-09-15T15:32:25.000Z","89.65","0"
"2021-09-15T15:32:25.000Z","86.68","1"
"2021-09-15T15:32:25.000Z","89.21","10"
"2021-09-15T15:32:25.000Z","89.46","11"
"2021-09-15T15:32:25.000Z","88.19","12"
"2021-09-15T15:32:25.000Z","88.63","13"
"2021-09-15T15:32:25.000Z","88.93","14"
"2021-09-15T15:32:25.000Z","87.82","15"
"2021-09-15T15:32:25.000Z","89.77","16"
"2021-09-15T15:32:25.000Z","89.68","17"
