"time","Position","Readerdata.Value"
"2021-09-15T19:34:43.000Z","C4","1.278"
"2021-09-15T19:34:43.000Z","C5","1.314"
"2021-09-15T19:34:43.000Z","C6","1.047"
"2021-09-15T19:34:43.000Z","C7","0.248"
"2021-09-15T19:34:43.000Z","C8","0.231"
"2021-09-15T19:34:43.000Z","C9","0.267"
"2021-09-15T19:34:43.000Z","D1","1.297"
"2021-09-15T19:34:43.000Z","D10","0.232"
"2021-09-15T19:34:43.000Z","D11","0.239"
"2021-09-15T19:34:43.000Z","D12","0.232"
"2021-09-15T19:34:43.000Z","D2","1.318"
"2021-09-15T19:34:43.000Z","D3","1.277"
"2021-09-15T19:34:43.000Z","D4","1.306"
"2021-09-15T19:34:43.000Z","D5","1.283"
"2021-09-15T19:34:43.000Z","D6","1.302"
"2021-09-15T19:34:43.000Z","D7","0.247"
"2021-09-15T19:34:43.000Z","D8","0.231"
"2021-09-15T19:34:43.000Z","D9","0.235"
"2021-09-15T19:34:43.000Z","E1","1.308"
"2021-09-15T19:34:43.000Z","E10","0.248"
"2021-09-15T19:34:43.000Z","E11","0.263"
"2021-09-15T19:34:43.000Z","E12","0.232"
"2021-09-15T19:34:43.000Z","E2","1.318"
"2021-09-15T19:34:43.000Z","E3","1.259"
"2021-09-15T19:34:43.000Z","E4","1.268"
"2021-09-15T19:34:43.000Z","E5","1.314"
"2021-09-15T19:34:43.000Z","E6","1.309"
"2021-09-15T19:34:43.000Z","E7","0.272"
"2021-09-15T19:34:43.000Z","E8","0.244"
"2021-09-15T19:34:43.000Z","E9","0.245"
"2021-09-15T19:34:43.000Z","F1","1.317"
"2021-09-15T19:34:43.000Z","F10","0.24"
"2021-09-15T19:34:43.000Z","F11","0.241"
"2021-09-15T19:34:43.000Z","F12","0.235"
"2021-09-15T19:34:43.000Z","F2","1.274"
"2021-09-15T19:34:43.000Z","F3","1.252"
"2021-09-15T19:34:43.000Z","F4","1.305"
"2021-09-15T19:34:43.000Z","F5","1.301"
"2021-09-15T19:34:43.000Z","F6","1.27"
"2021-09-15T19:34:43.000Z","F7","0.251"
"2021-09-15T19:34:43.000Z","F8","0.226"
"2021-09-15T19:34:43.000Z","F9","0.228"
"2021-09-15T19:34:43.000Z","G1","1.281"
"2021-09-15T19:34:43.000Z","G10","0.227"
"2021-09-15T19:34:43.000Z","G11","0.273"
"2021-09-15T19:34:43.000Z","G12","0.223"
"2021-09-15T19:34:43.000Z","G2","1.306"
"2021-09-15T19:34:43.000Z","G3","1.326"
"2021-09-15T19:34:43.000Z","G4","1.282"
"2021-09-15T19:34:43.000Z","G5","1.34"
"2021-09-15T19:34:43.000Z","G6","1.245"
"2021-09-15T19:34:43.000Z","G7","0.221"
"2021-09-15T19:34:43.000Z","G8","0.271"
"2021-09-15T19:34:43.000Z","G9","0.234"
"2021-09-15T19:34:43.000Z","H1","1.283"
"2021-09-15T19:34:43.000Z","H10","0.216"
"2021-09-15T19:34:43.000Z","H11","0.215"
"2021-09-15T19:34:43.000Z","H12","0.211"
"2021-09-15T19:34:43.000Z","H2","1.252"
"2021-09-15T19:34:43.000Z","H3","1.26"
"2021-09-15T19:34:43.000Z","H4","1.269"
"2021-09-15T19:34:43.000Z","H5","1.257"
"2021-09-15T19:34:43.000Z","H6","1.274"
"2021-09-15T19:34:43.000Z","H7","0.212"
"2021-09-15T19:34:43.000Z","H8","0.216"
"2021-09-15T19:34:43.000Z","H9","0.218"
"2021-09-15T20:34:46.000Z","A1","1.402"
"2021-09-15T20:34:46.000Z","A10","0.282"
"2021-09-15T20:34:46.000Z","A11","0.257"
"2021-09-15T20:34:46.000Z","A12","0.282"
"2021-09-15T20:34:46.000Z","A2","1.343"
"2021-09-15T20:34:46.000Z","A3","1.327"
"2021-09-15T20:34:46.000Z","A4","1.412"
"2021-09-15T20:34:46.000Z","A5","1.337"
"2021-09-15T20:34:46.000Z","A6","1.305"
"2021-09-15T20:34:46.000Z","A7","0.301"
"2021-09-15T20:34:46.000Z","A8","0.26"
"2021-09-15T20:34:46.000Z","A9","0.263"
"2021-09-15T20:34:46.000Z","B1","1.341"
"2021-09-15T20:34:46.000Z","B10","0.244"
"2021-09-15T20:34:46.000Z","B11","0.274"
"2021-09-15T20:34:46.000Z","B12","0.242"
"2021-09-15T20:34:46.000Z","B2","1.352"
"2021-09-15T20:34:46.000Z","B3","1.377"
"2021-09-15T20:34:46.000Z","B4","1.334"
"2021-09-15T20:34:46.000Z","B5","1.432"
"2021-09-15T20:34:46.000Z","B6","1.338"
"2021-09-15T20:34:46.000Z","B7","0.274"
"2021-09-15T20:34:46.000Z","B8","0.258"
"2021-09-15T20:34:46.000Z","B9","0.28"
"2021-09-15T20:34:46.000Z","C1","1.341"
"2021-09-15T20:34:46.000Z","C10","0.294"
"2021-09-15T20:34:46.000Z","C11","0.254"
"2021-09-15T20:34:46.000Z","C12","0.175"
"2021-09-15T20:34:46.000Z","C2","1.323"
"2021-09-15T20:34:46.000Z","C3","1.353"
"2021-09-15T20:34:46.000Z","C4","1.405"
"2021-09-15T20:34:46.000Z","C5","1.351"
"2021-09-15T20:34:46.000Z","C6","0.946"
"2021-09-15T20:34:46.000Z","C7","0.248"
"2021-09-15T20:34:46.000Z","C8","0.258"
"2021-09-15T20:34:46.000Z","C9","0.248"
"2021-09-15T20:34:46.000Z","D1","1.352"
"2021-09-15T20:34:46.000Z","D10","0.227"
"2021-09-15T20:34:46.000Z","D11","0.25"
"2021-09-15T20:34:46.000Z","D12","0.272"
"2021-09-15T20:34:46.000Z","D2","1.33"
"2021-09-15T20:34:46.000Z","D3","1.343"
"2021-09-15T20:34:46.000Z","D4","1.337"
"2021-09-15T20:34:46.000Z","D5","1.355"
"2021-09-15T20:34:46.000Z","D6","1.369"
"2021-09-15T20:34:46.000Z","D7","0.251"
"2021-09-15T20:34:46.000Z","D8","0.264"
"2021-09-15T20:34:46.000Z","D9","0.241"
"2021-09-15T20:34:46.000Z","E1","1.348"
"2021-09-15T20:34:46.000Z","E10","0.245"
"2021-09-15T20:34:46.000Z","E11","0.264"
"2021-09-15T20:34:46.000Z","E12","0.293"
"2021-09-15T20:34:46.000Z","E2","1.359"
"2021-09-15T20:34:46.000Z","E3","1.35"
"2021-09-15T20:34:46.000Z","E4","1.347"
