"time","Position","Readerdata.Value"
"2021-09-30T19:35:03.000Z","D11","0.207"
"2021-09-30T19:35:03.000Z","D12","0.18"
"2021-09-30T19:35:03.000Z","D2","1.082"
"2021-09-30T19:35:03.000Z","D3","1.069"
"2021-09-30T19:35:03.000Z","D4","1.093"
"2021-09-30T19:35:03.000Z","D5","1.101"
"2021-09-30T19:35:03.000Z","D6","1.077"
"2021-09-30T19:35:03.000Z","D7","0.196"
"2021-09-30T19:35:03.000Z","D8","0.185"
"2021-09-30T19:35:03.000Z","D9","0.183"
"2021-09-30T19:35:03.000Z","E1","1.176"
"2021-09-30T19:35:03.000Z","E10","0.229"
"2021-09-30T19:35:03.000Z","E11","0.215"
"2021-09-30T19:35:03.000Z","E12","0.183"
"2021-09-30T19:35:03.000Z","E2","1.185"
"2021-09-30T19:35:03.000Z","E3","1.128"
"2021-09-30T19:35:03.000Z","E4","1.187"
"2021-09-30T19:35:03.000Z","E5","1.248"
"2021-09-30T19:35:03.000Z","E6","1.073"
"2021-09-30T19:35:03.000Z","E7","0.225"
"2021-09-30T19:35:03.000Z","E8","0.213"
"2021-09-30T19:35:03.000Z","E9","0.21"
"2021-09-30T19:35:03.000Z","F1","1.159"
"2021-09-30T19:35:03.000Z","F10","0.215"
"2021-09-30T19:35:03.000Z","F11","0.203"
"2021-09-30T19:35:03.000Z","F12","0.18"
"2021-09-30T19:35:03.000Z","F2","1.103"
"2021-09-30T19:35:03.000Z","F3","1.088"
"2021-09-30T19:35:03.000Z","F4","1.188"
"2021-09-30T19:35:03.000Z","F5","1.2"
"2021-09-30T19:35:03.000Z","F6","1.088"
"2021-09-30T19:35:03.000Z","F7","0.226"
"2021-09-30T19:35:03.000Z","F8","0.205"
"2021-09-30T19:35:03.000Z","F9","0.203"
"2021-09-30T19:35:03.000Z","G1","1.106"
"2021-09-30T19:35:03.000Z","G10","0.201"
"2021-09-30T19:35:03.000Z","G11","0.209"
"2021-09-30T19:35:03.000Z","G12","0.193"
"2021-09-30T19:35:03.000Z","G2","1.157"
"2021-09-30T19:35:03.000Z","G3","1.108"
"2021-09-30T19:35:03.000Z","G4","1.17"
"2021-09-30T19:35:03.000Z","G5","1.19"
"2021-09-30T19:35:03.000Z","G6","1.143"
"2021-09-30T19:35:03.000Z","G7","0.196"
"2021-09-30T19:35:03.000Z","G8","0.197"
"2021-09-30T19:35:03.000Z","G9","0.203"
"2021-09-30T19:35:03.000Z","H1","1.117"
"2021-09-30T19:35:03.000Z","H10","0.188"
"2021-09-30T19:35:03.000Z","H11","0.197"
"2021-09-30T19:35:03.000Z","H12","0.202"
"2021-09-30T19:35:03.000Z","H2","1.179"
"2021-09-30T19:35:03.000Z","H3","1.11"
"2021-09-30T19:35:03.000Z","H4","1.092"
"2021-09-30T19:35:03.000Z","H5","1.17"
"2021-09-30T19:35:03.000Z","H6","1.118"
"2021-09-30T19:35:03.000Z","H7","0.191"
"2021-09-30T19:35:03.000Z","H8","0.193"
"2021-09-30T19:35:03.000Z","H9","0.178"
"2021-09-30T20:35:03.000Z","A1","1.114"
"2021-09-30T20:35:03.000Z","A10","0.197"
"2021-09-30T20:35:03.000Z","A11","0.191"
"2021-09-30T20:35:03.000Z","A12","0.205"
"2021-09-30T20:35:03.000Z","A2","1.147"
"2021-09-30T20:35:03.000Z","A3","1.094"
"2021-09-30T20:35:03.000Z","A4","1.107"
"2021-09-30T20:35:03.000Z","A5","1.118"
"2021-09-30T20:35:03.000Z","A6","1.078"
"2021-09-30T20:35:03.000Z","A7","0.209"
"2021-09-30T20:35:03.000Z","A8","0.197"
"2021-09-30T20:35:03.000Z","A9","0.182"
"2021-09-30T20:35:03.000Z","B1","1.132"
"2021-09-30T20:35:03.000Z","B10","0.19"
"2021-09-30T20:35:03.000Z","B11","0.21"
"2021-09-30T20:35:03.000Z","B12","0.19"
"2021-09-30T20:35:03.000Z","B2","1.181"
"2021-09-30T20:35:03.000Z","B3","1.163"
