"time","Presens_data.pH_value","position"
"2021-10-14T15:27:26.000Z","6.92","17"
"2021-10-14T15:27:26.000Z","7.01","18"
"2021-10-14T15:27:26.000Z","7.01","19"
"2021-10-14T15:27:26.000Z","6.99","2"
"2021-10-14T15:27:26.000Z","6.95","20"
"2021-10-14T15:27:26.000Z","6.98","21"
"2021-10-14T15:27:26.000Z","7.02","22"
"2021-10-14T15:27:26.000Z","7.03","23"
"2021-10-14T15:27:26.000Z","7","24"
"2021-10-14T15:27:26.000Z","6.89","25"
"2021-10-14T15:27:26.000Z","6.95","26"
"2021-10-14T15:27:26.000Z","6.98","27"
"2021-10-14T15:27:26.000Z","6.97","28"
"2021-10-14T15:27:26.000Z","6.96","29"
"2021-10-14T15:27:26.000Z","7","3"
"2021-10-14T15:27:26.000Z","6.99","30"
"2021-10-14T15:27:26.000Z","6.96","31"
"2021-10-14T15:27:26.000Z","7","32"
"2021-10-14T15:27:26.000Z","7.07","33"
"2021-10-14T15:27:26.000Z","6.99","34"
"2021-10-14T15:27:26.000Z","6.99","35"
"2021-10-14T15:27:26.000Z","6.99","36"
"2021-10-14T15:27:26.000Z","7.05","37"
"2021-10-14T15:27:26.000Z","6.95","38"
"2021-10-14T15:27:26.000Z","6.92","39"
"2021-10-14T15:27:26.000Z","6.95","4"
"2021-10-14T15:27:26.000Z","7.03","40"
"2021-10-14T15:27:26.000Z","6.88","41"
"2021-10-14T15:27:26.000Z","6.87","42"
"2021-10-14T15:27:26.000Z","7.03","43"
"2021-10-14T15:27:26.000Z","7.04","44"
"2021-10-14T15:27:26.000Z","6.98","45"
"2021-10-14T15:27:26.000Z","6.96","46"
"2021-10-14T15:27:26.000Z","6.98","47"
"2021-10-14T15:27:26.000Z","6.95","5"
"2021-10-14T15:27:26.000Z","6.93","6"
"2021-10-14T15:27:26.000Z","6.98","7"
"2021-10-14T15:27:26.000Z","6.9","8"
"2021-10-14T15:27:26.000Z","6.98","9"
"2021-10-14T15:28:10.000Z","7.04","0"
"2021-10-14T15:28:10.000Z","7","1"
"2021-10-14T15:28:10.000Z","6.94","10"
"2021-10-14T15:28:10.000Z","6.89","11"
"2021-10-14T15:28:10.000Z","6.92","12"
"2021-10-14T15:28:10.000Z","6.91","13"
"2021-10-14T15:28:10.000Z","7","14"
"2021-10-14T15:28:10.000Z","7.03","15"
"2021-10-14T15:28:10.000Z","6.91","16"
"2021-10-14T15:28:10.000Z","6.92","17"
"2021-10-14T15:28:10.000Z","7.02","18"
"2021-10-14T15:28:10.000Z","7.01","19"
"2021-10-14T15:28:10.000Z","6.99","2"
"2021-10-14T15:28:10.000Z","6.95","20"
"2021-10-14T15:28:10.000Z","6.98","21"
"2021-10-14T15:28:10.000Z","7.03","22"
"2021-10-14T15:28:10.000Z","7.03","23"
"2021-10-14T15:28:10.000Z","7.01","24"
"2021-10-14T15:28:10.000Z","6.9","25"
"2021-10-14T15:28:10.000Z","6.95","26"
"2021-10-14T15:28:10.000Z","6.98","27"
"2021-10-14T15:28:10.000Z","6.97","28"
"2021-10-14T15:28:10.000Z","6.97","29"
"2021-10-14T15:28:10.000Z","7","3"
"2021-10-14T15:28:10.000Z","7","30"
"2021-10-14T15:28:10.000Z","6.97","31"
"2021-10-14T15:28:10.000Z","7.01","32"
"2021-10-14T15:28:10.000Z","7.07","33"
"2021-10-14T15:28:10.000Z","7","34"
"2021-10-14T15:28:10.000Z","7","35"
"2021-10-14T15:28:10.000Z","7","36"
"2021-10-14T15:28:10.000Z","7.06","37"
"2021-10-14T15:28:10.000Z","6.96","38"
"2021-10-14T15:28:10.000Z","6.93","39"
"2021-10-14T15:28:10.000Z","6.96","4"
"2021-10-14T15:28:10.000Z","7.04","40"
"2021-10-14T15:28:10.000Z","6.9","41"
"2021-10-14T15:28:10.000Z","6.9","42"
"2021-10-14T15:28:10.000Z","7.05","43"
"2021-10-14T15:28:10.000Z","7.05","44"
"2021-10-14T15:28:10.000Z","7.01","45"
"2021-10-14T15:28:10.000Z","6.99","46"
"2021-10-14T15:28:10.000Z","6.99","47"
"2021-10-14T15:28:10.000Z","6.95","5"
"2021-10-14T15:28:10.000Z","6.93","6"
"2021-10-14T15:28:10.000Z","6.98","7"
"2021-10-14T15:28:10.000Z","6.9","8"
"2021-10-14T15:28:10.000Z","6.99","9"
"2021-10-14T15:28:54.000Z","7.05","0"
"2021-10-14T15:28:54.000Z","7.01","1"
"2021-10-14T15:28:54.000Z","6.99","2"
"2021-10-14T15:28:54.000Z","7.01","3"
"2021-10-14T15:28:54.000Z","6.96","4"
"2021-10-14T15:28:54.000Z","6.95","5"
"2021-10-14T15:28:54.000Z","6.93","6"
"2021-10-14T15:28:54.000Z","6.98","7"
"2021-10-14T15:28:54.000Z","6.9","8"
"2021-10-14T15:28:55.000Z","6.94","10"
"2021-10-14T15:28:55.000Z","6.9","11"
"2021-10-14T15:28:55.000Z","6.93","12"
"2021-10-14T15:28:55.000Z","6.92","13"
"2021-10-14T15:28:55.000Z","7","14"
"2021-10-14T15:28:55.000Z","7.03","15"
"2021-10-14T15:28:55.000Z","6.91","16"
"2021-10-14T15:28:55.000Z","6.92","17"
"2021-10-14T15:28:55.000Z","7.02","18"
"2021-10-14T15:28:55.000Z","7.01","19"
"2021-10-14T15:28:55.000Z","6.95","20"
"2021-10-14T15:28:55.000Z","6.99","21"
"2021-10-14T15:28:55.000Z","7.03","22"
"2021-10-14T15:28:55.000Z","7.04","23"
"2021-10-14T15:28:55.000Z","7.01","24"
"2021-10-14T15:28:55.000Z","6.91","25"
"2021-10-14T15:28:55.000Z","6.96","26"
"2021-10-14T15:28:55.000Z","6.99","27"
"2021-10-14T15:28:55.000Z","6.98","28"
"2021-10-14T15:28:55.000Z","6.97","29"
"2021-10-14T15:28:55.000Z","7","30"
"2021-10-14T15:28:55.000Z","6.97","31"
"2021-10-14T15:28:55.000Z","7.02","32"
"2021-10-14T15:28:55.000Z","7.08","33"
"2021-10-14T15:28:55.000Z","7.01","34"
"2021-10-14T15:28:55.000Z","7.01","35"
"2021-10-14T15:28:55.000Z","7.01","36"
"2021-10-14T15:28:55.000Z","7.06","37"
"2021-10-14T15:28:55.000Z","6.96","38"
"2021-10-14T15:28:55.000Z","6.93","39"
"2021-10-14T15:28:55.000Z","7.05","40"
"2021-10-14T15:28:55.000Z","6.93","41"
"2021-10-14T15:28:55.000Z","6.92","42"
"2021-10-14T15:28:55.000Z","7.07","43"
"2021-10-14T15:28:55.000Z","7.06","44"
"2021-10-14T15:28:55.000Z","7.03","45"
"2021-10-14T15:28:55.000Z","7.01","46"
"2021-10-14T15:28:55.000Z","7","47"
"2021-10-14T15:28:55.000Z","6.99","9"
"2021-10-14T15:29:39.000Z","7.05","0"
"2021-10-14T15:29:39.000Z","7.01","1"
"2021-10-14T15:29:39.000Z","6.94","10"
"2021-10-14T15:29:39.000Z","6.9","11"
"2021-10-14T15:29:39.000Z","6.93","12"
"2021-10-14T15:29:39.000Z","6.92","13"
"2021-10-14T15:29:39.000Z","7.01","14"
"2021-10-14T15:29:39.000Z","7.03","15"
"2021-10-14T15:29:39.000Z","6.91","16"
"2021-10-14T15:29:39.000Z","6.93","17"
"2021-10-14T15:29:39.000Z","7.02","18"
"2021-10-14T15:29:39.000Z","7.02","19"
"2021-10-14T15:29:39.000Z","7","2"
"2021-10-14T15:29:39.000Z","6.96","20"
"2021-10-14T15:29:39.000Z","6.99","21"
"2021-10-14T15:29:39.000Z","7.03","22"
"2021-10-14T15:29:39.000Z","7.04","23"
"2021-10-14T15:29:39.000Z","7.01","24"
"2021-10-14T15:29:39.000Z","6.91","25"
"2021-10-14T15:29:39.000Z","6.96","26"
"2021-10-14T15:29:39.000Z","6.99","27"
"2021-10-14T15:29:39.000Z","6.98","28"
"2021-10-14T15:29:39.000Z","6.97","29"
"2021-10-14T15:29:39.000Z","7.01","3"
"2021-10-14T15:29:39.000Z","7","30"
"2021-10-14T15:29:39.000Z","6.98","31"
"2021-10-14T15:29:39.000Z","7.02","32"
"2021-10-14T15:29:39.000Z","7.08","33"
"2021-10-14T15:29:39.000Z","7.01","34"
"2021-10-14T15:29:39.000Z","7.01","35"
"2021-10-14T15:29:39.000Z","7.02","36"
"2021-10-14T15:29:39.000Z","7.06","37"
"2021-10-14T15:29:39.000Z","6.97","38"
"2021-10-14T15:29:39.000Z","6.93","39"
"2021-10-14T15:29:39.000Z","6.96","4"
"2021-10-14T15:29:39.000Z","7.06","40"
"2021-10-14T15:29:39.000Z","6.94","41"
"2021-10-14T15:29:39.000Z","6.94","42"
"2021-10-14T15:29:39.000Z","7.08","43"
"2021-10-14T15:29:39.000Z","7.07","44"
"2021-10-14T15:29:39.000Z","7.04","45"
"2021-10-14T15:29:39.000Z","7.03","46"
"2021-10-14T15:29:39.000Z","7.01","47"
"2021-10-14T15:29:39.000Z","6.96","5"
"2021-10-14T15:29:39.000Z","6.94","6"
"2021-10-14T15:29:39.000Z","6.99","7"
"2021-10-14T15:29:39.000Z","6.9","8"
"2021-10-14T15:29:39.000Z","6.99","9"
"2021-10-14T15:30:23.000Z","7.05","0"
"2021-10-14T15:30:23.000Z","7.01","1"
"2021-10-14T15:30:23.000Z","6.94","10"
"2021-10-14T15:30:23.000Z","6.9","11"
"2021-10-14T15:30:23.000Z","6.93","12"
"2021-10-14T15:30:23.000Z","6.92","13"
"2021-10-14T15:30:23.000Z","7.01","14"
"2021-10-14T15:30:23.000Z","7.04","15"
"2021-10-14T15:30:23.000Z","6.91","16"
"2021-10-14T15:30:23.000Z","6.93","17"
"2021-10-14T15:30:23.000Z","7.03","18"
"2021-10-14T15:30:23.000Z","7.02","19"
"2021-10-14T15:30:23.000Z","7","2"
"2021-10-14T15:30:23.000Z","6.96","20"
"2021-10-14T15:30:23.000Z","6.99","21"
"2021-10-14T15:30:23.000Z","7.03","22"
"2021-10-14T15:30:23.000Z","7.04","23"
"2021-10-14T15:30:23.000Z","7.02","24"
"2021-10-14T15:30:23.000Z","6.92","25"
"2021-10-14T15:30:23.000Z","6.97","26"
"2021-10-14T15:30:23.000Z","6.99","27"
"2021-10-14T15:30:23.000Z","6.98","28"
"2021-10-14T15:30:23.000Z","6.98","29"
"2021-10-14T15:30:23.000Z","7.01","3"
"2021-10-14T15:30:23.000Z","7","30"
"2021-10-14T15:30:23.000Z","6.98","31"
"2021-10-14T15:30:23.000Z","7.03","32"
"2021-10-14T15:30:23.000Z","7.08","33"
"2021-10-14T15:30:23.000Z","7.02","34"
"2021-10-14T15:30:23.000Z","7.02","35"
"2021-10-14T15:30:23.000Z","7.02","36"
"2021-10-14T15:30:23.000Z","7.06","37"
"2021-10-14T15:30:23.000Z","6.97","38"
"2021-10-14T15:30:23.000Z","6.93","39"
"2021-10-14T15:30:23.000Z","6.96","4"
"2021-10-14T15:30:23.000Z","7.06","40"
"2021-10-14T15:30:23.000Z","6.95","41"
"2021-10-14T15:30:23.000Z","6.95","42"
"2021-10-14T15:30:23.000Z","7.09","43"
"2021-10-14T15:30:23.000Z","7.07","44"
"2021-10-14T15:30:23.000Z","7.06","45"
"2021-10-14T15:30:23.000Z","7.04","46"
"2021-10-14T15:30:23.000Z","7.02","47"
"2021-10-14T15:30:23.000Z","6.96","5"
"2021-10-14T15:30:23.000Z","6.94","6"
"2021-10-14T15:30:23.000Z","6.99","7"
"2021-10-14T15:30:23.000Z","6.9","8"
"2021-10-14T15:30:23.000Z","6.99","9"
"2021-10-14T15:31:07.000Z","7.05","0"
"2021-10-14T15:31:07.000Z","7.01","1"
"2021-10-14T15:31:07.000Z","6.95","10"
"2021-10-14T15:31:07.000Z","6.9","11"
"2021-10-14T15:31:07.000Z","6.93","12"
"2021-10-14T15:31:07.000Z","6.92","13"
"2021-10-14T15:31:07.000Z","7.01","14"
"2021-10-14T15:31:07.000Z","7.04","15"
"2021-10-14T15:31:07.000Z","6.92","16"
"2021-10-14T15:31:07.000Z","6.93","17"
"2021-10-14T15:31:07.000Z","7.03","18"
"2021-10-14T15:31:07.000Z","7.02","19"
"2021-10-14T15:31:07.000Z","7","2"
"2021-10-14T15:31:07.000Z","6.96","20"
"2021-10-14T15:31:07.000Z","7","21"
"2021-10-14T15:31:07.000Z","7.04","22"
"2021-10-14T15:31:07.000Z","7.04","23"
"2021-10-14T15:31:07.000Z","7.02","24"
"2021-10-14T15:31:07.000Z","6.92","25"
"2021-10-14T15:31:07.000Z","6.97","26"
"2021-10-14T15:31:07.000Z","6.99","27"
"2021-10-14T15:31:07.000Z","6.99","28"
"2021-10-14T15:31:07.000Z","6.98","29"
"2021-10-14T15:31:07.000Z","7.01","3"
"2021-10-14T15:31:07.000Z","7","30"
"2021-10-14T15:31:07.000Z","6.98","31"
"2021-10-14T15:31:07.000Z","7.03","32"
"2021-10-14T15:31:07.000Z","7.09","33"
"2021-10-14T15:31:07.000Z","7.02","34"
"2021-10-14T15:31:07.000Z","7.02","35"
"2021-10-14T15:31:07.000Z","7.03","36"
"2021-10-14T15:31:07.000Z","7.07","37"
"2021-10-14T15:31:07.000Z","6.98","38"
"2021-10-14T15:31:07.000Z","6.93","39"
"2021-10-14T15:31:07.000Z","6.96","4"
"2021-10-14T15:31:07.000Z","7.07","40"
"2021-10-14T15:31:07.000Z","6.96","41"
"2021-10-14T15:31:07.000Z","6.96","42"
